conference,bg,accent,fg
ACC,#013CA6,#A5A9AB,#f5ecd7
Big 12,#C41230,#CFD4D8,#f5ecd7
Big East,#ED1A39,#003E7E,#f5ecd7
Big Ten,#0088CE,#000000,#1a1f3a
SEC,#22356B,#FFFFFF,#f5ecd7
AAC,#041E41,#EE2231,#f5ecd7
Big Sky,#005DAA,#70CDE3,#f5ecd7
CUSA,#003865,#A6192E,#f5ecd7
Ivy,#026937,#FFFFFF,#f5ecd7
MAC,#0B213E,#019E4F,#f5ecd7
MEAC,#342A7A,#FDBF57,#f5ecd7
MWC,#4F2D7F,#AFAFAF,#f5ecd7
Southland,#000000,#C2A553,#f5ecd7
Summit,#7E868C,#003494,#1a1f3a
Sun Belt,#F6A800,#0A2240,#1a1f3a
WAC,#98002E,#D9D4CC,#f5ecd7
A-10,#E12726,#231F20,#f5ecd7
A-Sun,#4E5055,#F3E503,#f5ecd7
AmEast,#111C4E,#00B2E3,#f5ecd7
Big South,#0079C7,#FFFFFF,#f5ecd7
Big West,#A2AAAD,#FFFFFF,#1a1f3a
CAA,#002263,#2C6ABB,#f5ecd7
Horizon,#FFA400,#E35205,#1a1f3a
MAAC,#E03A3E,#004FA3,#1a1f3a
MVC,#C8102E,#003976,#f5ecd7
NEC,#006BA3,#231F20,#f5ecd7
OVC,#9D2440,#D1AD85,#f5ecd7
Pac-12,#092346,#FFFFFF,#f5ecd7
Patriot,#25355F,#D72633,#f5ecd7
SWAC,#E01821,#B0B0B0,#f5ecd7
Southern,#001489,#DA291C,#f5ecd7
WCC,#000000,#FFFFFF,#f5ecd7
