parent_conference,final_conference,is_criterion
A-10,A-10,yes
A-Sun,A-Sun,yes
AAC,AAC,yes
ACC,ACC,yes
AmEast,AmEast,yes
American,AAC,yes
Big 12,Big 12,yes
Big East,Big East,yes
Big Sky,Big Sky,yes
Big South,Big South,yes
Big Ten,Big Ten,yes
Big West,Big West,yes
CAA,CAA,yes
CUSA,CUSA,yes
GWC,GWC,yes
Horizon,Horizon,yes
Ind,Ind,yes
Ivy,Ivy,yes
MAAC,MAAC,yes
MAC,MAC,yes
MEAC,MEAC,yes
MVC,MVC,yes
MW Coll,Horizon,yes
MWC,MWC,yes
Mid-Cont,Summit,yes
NEC,NEC,yes
OVC,OVC,yes
Pac-10,Pac-12,yes
Pac-12,Pac-12,yes
Patriot,Patriot,yes
SEC,SEC,yes
SWAC,SWAC,yes
Southern,Southern,yes
Southland,Southland,yes
Summit,Summit,yes
Sun Belt,Sun Belt,yes
TAAC,A-Sun,yes
WAC,WAC,yes
WCC,WCC,yes
