source_college,canonical_name
St. John's,St. John's (NY)
UMass,Massachusetts
University of Akron,Akron
UW-Milwaukee,Milwaukee
University of North Texas,North Texas
Cal State Long Beach,Long Beach State
Tennessee Technological University,Tennessee Tech
Texas-El Paso,UTEP
University of Tennessee at Martin,UT Martin
NC Central,North Carolina Central
University of North Dakota,North Dakota
UNC Charlotte,Charlotte
Austin Peay State University,Austin Peay
University of Baltimore,Baltimore
University of Central Arkansas,Central Arkansas
University of Delaware,Delaware
University of Evansville,Evansville
University of Hartford,Hartford
University of Maine,Maine
University of Maryland Eastern Shore,Maryland Eastern Shore
University of New Hampshire,New Hampshire
University of New Haven,New Haven
University of North Alabama,North Alabama
University of Northern Iowa,Northern Iowa
University of Portland,Portland
University of San Diego,San Diego
University of South Alabama,South Alabama
University of Texas Rio Grande Valley,Texas–Rio Grande Valley
University of the Pacific,Pacific
Miami University,Miami (OH)
Texas-San Antonio,UTSA
Missouri-Kansas City,Kansas City
Nebraska-Omaha,Omaha
Saint Francis University,Saint Francis (PA)
St. Francis College,St. Francis Brooklyn
SE Missouri State,Southeast Missouri State
Winston-Salem State,Winston-Salem
