draft_player,draft_year,college,matched_player,slug,method
VJ Edgecombe,2025,Baylor,V.J. Edgecombe,vj-edgecombe-1,spelling
Ace Bailey,2025,Rutgers,Airious Bailey,airious-bailey-1,last+college+season
Walter Clayton,2025,Florida,Walter Clayton Jr.,walter-claytonjr-1,spelling
Kasparas Jakučionis,2025,Illinois,Kasparas Jakucionis,kasparas-jakucionis-1,spelling
Yanic Konan Niederhäuser,2025,Penn State,Yanic Konan Niederhauser,yanic-konan-niederhauser-1,spelling
Kam Jones,2025,Marquette,Kameron Jones,kam-jones-1,last+college+season
Bub Carrington,2024,Pittsburgh,Carlton Carrington,carlton-carrington-1,last+college+season
DaRon Holmes,2024,Dayton,DaRon Holmes II,daron-holmesii-1,spelling
Jabari Smith Jr.,2022,Auburn,Jabari Smith,jabari-smith-2,spelling
Jake LaRavia,2022,Wake Forest,Jake Laravia,jake-laravia-1,spelling
Moussa Diabaté,2022,Michigan,Moussa Diabate,moussa-diabate-1,spelling
Bones Hyland,2021,VCU,Nah'Shon Hyland,nahshon-hyland-1,last+college+season
Cam Thomas,2021,Louisiana State,Cameron Thomas,cameron-thomas-1,last+college+season
Herbert Jones,2021,Alabama,Herb Jones,herb-jones-3,last+college+season
Greg Brown III,2021,Texas,Greg Brown,greg-brown-9,spelling
Filip Petrušev,2021,Gonzaga,Filip Petrusev,filip-petrusev-1,spelling
Balša Koprivica,2021,Florida State,Balsa Koprivica,balsa-koprivica-1,spelling
RaiQuan Gray,2021,Florida State,Raiquan Gray,raiquan-gray-1,spelling
Xavier Tillman Sr.,2020,Michigan State,Xavier Tillman,xavier-tillman-1,spelling
Robert Woodard II,2020,Mississippi State,Robert Woodard,robert-woodard-2,spelling
RJ Barrett,2019,Duke,R.J. Barrett,rj-barrett-1,spelling
P.J. Washington,2019,Kentucky,PJ Washington,pj-washington-1,spelling
Nic Claxton,2019,Georgia,Nicolas Claxton,nicolas-claxton-1,last+college+season
KZ Okpala,2019,Stanford,Kezie Okpala,kezie-okpala-1,last+college+season
Mo Bamba,2018,Texas,Mohamed Bamba,mohamed-bamba-1,last+college+season
Troy Brown Jr.,2018,Oregon,Troy Brown,troy-brown-5,spelling
Lonnie Walker IV,2018,Miami (FL),Lonnie Walker,lonnie-walker-2,spelling
Svi Mykhailiuk,2018,Kansas,Sviatoslav Mykhailiuk,sviatoslav-mykhailiuk-1,last+college+season
Ray Spalding,2018,Louisville,Raymond Spalding,raymond-spalding-1,last+college+season
T.J. Leaf,2017,UCLA,TJ Leaf,tj-leaf-1,spelling
Wes Iwundu,2017,Kansas State,Wesley Iwundu,wesley-iwundu-1,last+college+season
Frank Mason III,2017,Kansas,Frank Mason,frank-mason-1,spelling
Wade Baldwin,2016,Vanderbilt,Wade Baldwin IV,wade-baldwin-1,spelling
DeAndre' Bembry,2016,Saint Joseph's,DeAndre Bembry,deandre-bembry-1,spelling
Skal Labissière,2016,Kentucky,Skal Labissiere,skal-labissiere-1,spelling
Stephen Zimmerman,2016,UNLV,Stephen Zimmerman Jr.,stephen-zimmermanjr-1,spelling
Kelly Oubre Jr.,2015,Kansas,Kelly Oubre,kelly-oubre-1,spelling
Larry Nance Jr.,2015,Wyoming,Larry Nance,larry-nance-2,spelling
Devyn Marble,2014,Iowa,Roy Devyn Marble,roy-devyn-marble-1,last+college+season
Otto Porter Jr.,2013,Georgetown,Otto Porter,otto-porter-1,spelling
CJ McCollum,2013,Lehigh,C.J. McCollum,cj-mccollum-1,spelling
James Ennis III,2013,Long Beach State,James Ennis,james-ennis-1,spelling
Jeff Taylor,2012,Vanderbilt,Jeffery Taylor,jeffery-taylor-1,last+college+season
Nikola Vučević,2011,Southern California,Nikola Vucevic,nikola-vucevic-1,spelling
MarShon Brooks,2011,Providence,Marshon Brooks,marshon-brooks-1,spelling
Trey Thompkins,2011,Georgia,Trey Thompkins III,trey-thompkins-1,spelling
Wesley Johnson,2010,Syracuse,Wes Johnson,wes-johnson-1,last+college+season
Greivis Vásquez,2010,Maryland,Greivis Vasquez,greivis-vasquez-1,spelling
Patty Mills,2009,St. Mary's (CA),Patrick Mills,patrick-mills-1,last+college+season
Eric Gordon,2008,Indiana,Eric Gordon Jr,eric-gordon-1,spelling
D.J. Augustin,2008,Texas,D.J. Augustin Jr,dj-augustin-1,spelling
Anthony Randolph,2008,Louisiana State,Anthony Randolph Jr,anthony-randolph-1,spelling
George Hill,2008,IU Indy,George Hill Jr,george-hill-1,spelling
Donté Greene,2008,Syracuse,Donte Greene,donte-greene-1,spelling
Walter Sharpe,2008,UAB,Walter Sharpe III,walter-sharpe-1,spelling
DeAndre Jordan,2008,Texas A&M,DeAndre Jordan Jr,deandre-jordan-1,spelling
Luc Mbah a Moute,2008,UCLA,Luc Richard Mbah a Moute,luc-richard-mbah-a-moute-1,last+college+season
Patrick Ewing,2008,Georgetown,Pat Ewing Jr,pat-ewing-1,last+college+season
Greg Oden,2007,Ohio State,Greg Oden Jr,greg-oden-1,spelling
Mike Conley,2007,Ohio State,Mike Conley Jr,mike-conley-1,spelling
Acie Law,2007,Texas A&M,Acie Law IV,acie-law-1,spelling
