canonical_name,team_file_name,player_file_name,match_method
Abilene Christian,Abilene Christ.,Abilene Christian,
Appalachian State,App. St.,Appalachian State,
Brigham Young,BYU,Brigham Young,
California,Cal,California,
California Baptist,Cal Baptist,California Baptist,
Charleston Southern,Charleston,Charleston Southern,
College of Charleston,Charleston So.,College of Charleston,
Texas A&M–Commerce,East Texas A&M,Texas A&M–Commerce,
Florida International,FIU,Florida International,
Purdue Fort Wayne,Fort Wayne,Purdue Fort Wayne,
Grambling State,Grambling,Grambling State,
Louisiana State,LSU,Louisiana State,
Loyola Chicago,Loyola (IL),Loyola Chicago,
Mississippi Valley State,MVSU,Mississippi Valley State,
UMass Lowell,Mass.-Lowell,UMass Lowell,
McNeese State,McNeese,McNeese State,
Maryland Eastern Shore,Md.-East. Shore,Maryland Eastern Shore,
North Carolina A&T,N.C. A&T,North Carolina A&T,
North Carolina Central,N.C. Central,North Carolina Central,
Northwestern State,NW St.,Northwestern State,
Pennsylvania,Penn,Pennsylvania,
Pittsburgh,Pitt,Pittsburgh,
Prairie View A&M,Prairie View,Prairie View A&M,
Southeast Missouri State,SE Missouri St,Southeast Missouri State,
Saint Francis (PA),SFU,Saint Francis (PA),
St. Mary's (CA),Saint Mary's,St. Mary's (CA),
Sam Houston State,Sam Houston,Sam Houston State,
Southeastern Louisiana,Southeastern LA,Southeastern Louisiana,
Southern,Southern U.,Southern,
Texas A&M–Corpus Christi,TAMUCC,Texas A&M–Corpus Christi,
UC Santa Barbara,UCSB,UC Santa Barbara,
Connecticut,UConn,Connecticut,
Kansas City,UMKC,Kansas City,
North Carolina,UNC,North Carolina,
UNC Asheville,UNCA,UNC Asheville,
UNC Greensboro,UNCG,UNC Greensboro,
UNC Wilmington,UNCW,UNC Wilmington,
Northern Iowa,UNI,Northern Iowa,
Southern California,USC,Southern California,
UT Arlington,UTA,UT Arlington,
Texas–Rio Grande Valley,UTRGV,Texas–Rio Grande Valley,
Alabama State,Alabama St.,Alabama State,
Alcorn State,Alcorn St.,Alcorn State,
Arizona State,Arizona St.,Arizona State,
Arkansas State,Arkansas St.,Arkansas State,
Arkansas–Pine Bluff,Ark-Pine Bluff,Arkansas–Pine Bluff,
Ball State,Ball St.,Ball State,
Boise State,Boise St.,Boise State,
Boston University,Boston U.,Boston University,
Cal State Bakersfield,Cal St Bakersfield,Cal State Bakersfield,
Cal State Fullerton,Cal St Fullerton,Cal State Fullerton,
Cal State Northridge,Cal St Northridge,Cal State Northridge,
Central Arkansas,Central Ark.,Central Arkansas,
Central Connecticut State,Central Conn St,Central Connecticut State,
Central Michigan,Central Mich.,Central Michigan,
Chicago State,Chicago St.,Chicago State,
Cleveland State,Cleveland St.,Cleveland State,
Coastal Carolina,Coastal Caro.,Coastal Carolina,
Colorado State,Colorado St.,Colorado State,
Coppin State,Coppin St.,Coppin State,
Delaware State,Delaware St.,Delaware State,
East Tennessee State,East Tenn. St.,East Tennessee State,
Eastern Illinois,Eastern Ill.,Eastern Illinois,
Eastern Kentucky,Eastern Ky.,Eastern Kentucky,
Eastern Michigan,Eastern Mich.,Eastern Michigan,
Eastern Washington,Eastern Wash.,Eastern Washington,
Florida Atlantic,Fla. Atlantic,Florida Atlantic,
Florida Gulf Coast,Fla. Gulf Coast,Florida Gulf Coast,
Florida State,Florida St.,Florida State,
Fresno State,Fresno St.,Fresno State,
Georgia Southern,Ga. Southern,Georgia Southern,
Georgia State,Georgia St.,Georgia State,
Georgia Tech,Ga Tech,Georgia Tech,
Idaho State,Idaho St.,Idaho State,
Illinois State,Illinois St.,Illinois State,
Illinois–Chicago,Ill.-Chicago,Illinois–Chicago,
Indiana State,Indiana St.,Indiana State,
Iowa State,Iowa St.,Iowa State,
Jackson State,Jackson St.,Jackson State,
Jacksonville State,Jacksonville St.,Jacksonville State,
Kansas State,Kansas St.,Kansas State,
Kennesaw State,Kennesaw St.,Kennesaw State,
Kent State,Kent St.,Kent State,
Louisiana–Monroe,La.-Monroe,Louisiana–Monroe,
Michigan State,Michigan St.,Michigan State,
Middle Tennessee,Middle Tenn.,Middle Tennessee,
Mississippi State,Miss. St.,Mississippi State,
Missouri State,Missouri St.,Missouri State,
Montana State,Montana St.,Montana State,
Morehead State,Morehead St.,Morehead State,
Morgan State,Morgan St.,Morgan State,
Mount St. Mary's,Mt. St. Mary's,Mount St. Mary's,
Murray State,Murray St.,Murray State,
New Mexico State,New Mexico St.,New Mexico State,
Nicholls State,Nicholls St.,Nicholls State,
Norfolk State,Norfolk St.,Norfolk State,
North Alabama,North Ala.,North Alabama,
North Dakota State,North Dakota St.,North Dakota State,
