canonical_name,bg,accent,fg
Abilene Christian,#461D7C,#FFFFFF,#f5ecd7
Air Force,#003087,#8A8D8F,#f5ecd7
Akron,#041E42,#A89968,#f5ecd7
Alabama,#9E1B32,#828A8F,#f5ecd7
Alabama A&M,#660000,#FFFFFF,#f5ecd7
Alabama State,#C99700,#000000,#1a1f3a
Albany (NY),#461660,#EEB211,#f5ecd7
Alcorn State,#46166A,#E9A713,#f5ecd7
American,#C4122E,#005099,#f5ecd7
Appalachian State,#222222,#FFCC00,#f5ecd7
Arizona,#CC0033,#003366,#f5ecd7
Arizona State,#8C1D40,#FFC627,#f5ecd7
Arkansas,#9D2235,#FFFFFF,#f5ecd7
Arkansas State,#CC092F,#000000,#f5ecd7
Arkansas–Pine Bluff,#000000,#EEB310,#f5ecd7
Army,#D4BF91,#000000,#1a1f3a
Auburn,#0C2340,#E87722,#f5ecd7
Austin Peay,#BA0C2F,#000000,#f5ecd7
Ball State,#BA0C2F,#000000,#f5ecd7
Baylor,#003015,#FECB00,#f5ecd7
Bellarmine,#752936,#4D4D4D,#f5ecd7
Belmont,#002469,#C9262D,#f5ecd7
Bethune-Cookman,#6F263D,#F2A900,#f5ecd7
Binghamton,#005A43,#169B62,#f5ecd7
Boise State,#D64309,#0033A0,#f5ecd7
Boston College,#98002E,#BC9B6A,#f5ecd7
Boston University,#CC0000,#FFFFFF,#f5ecd7
Bowling Green,#FE5000,#4F2C1D,#1a1f3a
Bradley,#A50000,#999999,#f5ecd7
Brigham Young,#002255,#C5AF7D,#f5ecd7
Brown,#4E3629,#FFFFFF,#f5ecd7
Bryant,#231F20,#B09863,#f5ecd7
Bucknell,#EF5B0C,#003865,#1a1f3a
Buffalo,#005BBB,#FFFFFF,#f5ecd7
Butler,#13294B,#747678,#f5ecd7
Cal Poly,#003831,#FFE395,#f5ecd7
Cal State Bakersfield,#005DAA,#FFD200,#f5ecd7
Cal State Fullerton,#00274C,#DC8218,#f5ecd7
Cal State Northridge,#CE1126,#D1CEC6,#f5ecd7
California,#003262,#FDB515,#f5ecd7
California Baptist,#002554,#A37400,#f5ecd7
Campbell,#E87722,#000000,#1a1f3a
Canisius,#0C2340,#FFBA00,#f5ecd7
Central Arkansas,#4F2D7F,#818A8F,#f5ecd7
Central Connecticut State,#1A4784,#FFFFFF,#f5ecd7
Central Michigan,#6A0032,#FFC82E,#f5ecd7
Charleston Southern,#76232F,#FFFFFF,#f5ecd7
Charlotte,#046A38,#B9975B,#f5ecd7
Chattanooga,#00386B,#E0AA0F,#f5ecd7
Chicago State,#006666,#000000,#f5ecd7
Cincinnati,#E00122,#000000,#f5ecd7
Clemson,#F56600,#522D80,#1a1f3a
Cleveland State,#006747,#000000,#f5ecd7
Coastal Carolina,#006F71,#A27752,#f5ecd7
Colgate,#862633,#C8C7C7,#f5ecd7
College of Charleston,#002855,#A89968,#f5ecd7
Colorado,#CFB87C,#000000,#1a1f3a
Colorado State,#1E4D2B,#C8C372,#f5ecd7
Columbia,#9BCBEB,#003865,#1a1f3a
Connecticut,#000E2F,#FFFFFF,#f5ecd7
Coppin State,#003056,#FFC915,#f5ecd7
Cornell,#B31B1B,#5E3920,#f5ecd7
Creighton,#005CA9,#00235D,#f5ecd7
Dartmouth,#046A38,#000000,#f5ecd7
Davidson,#AC1A2F,#000000,#f5ecd7
Dayton,#CE1141,#004B8D,#f5ecd7
DePaul,#005EB8,#E4002B,#f5ecd7
Delaware,#00539F,#FFD200,#f5ecd7
Delaware State,#EE3124,#0099CC,#1a1f3a
Denver,#8B2332,#8B6F4B,#f5ecd7
Detroit Mercy,#A6093D,#002D72,#f5ecd7
Drake,#004477,#999999,#f5ecd7
Drexel,#07294D,#FFC600,#f5ecd7
Duke,#001A57,#FFFFFF,#f5ecd7
Duquesne,#041E42,#BA0C2F,#f5ecd7
East Carolina,#592A8A,#FDC82F,#f5ecd7
East Tennessee State,#041E42,#FFC72C,#f5ecd7
Eastern Illinois,#003399,#B2B2B2,#f5ecd7
Eastern Kentucky,#4C151E,#FFFFFF,#f5ecd7
Eastern Michigan,#006633,#000000,#f5ecd7
Eastern Washington,#A10022,#FFFFFF,#f5ecd7
Elon,#73000A,#B59A57,#f5ecd7
Evansville,#52237F,#F36F21,#f5ecd7
FDU,#A32638,#003F87,#f5ecd7
Fairfield,#C8102E,#A2AAAD,#f5ecd7
Florida,#0021A5,#FA4616,#f5ecd7
Florida A&M,#F4811F,#008344,#1a1f3a
Florida Atlantic,#003366,#CC0000,#f5ecd7
Florida Gulf Coast,#002D72,#007749,#f5ecd7
Florida International,#081E3F,#B6862C,#f5ecd7
Florida State,#782F40,#CEB888,#f5ecd7
Fordham,#860038,#FFFFFF,#f5ecd7
Fresno State,#DB0032,#002E6D,#f5ecd7
Furman,#582C83,#FFFFFF,#f5ecd7
Gardner-Webb,#A6192E,#000000,#f5ecd7
George Mason,#006633,#FFCC33,#f5ecd7
George Washington,#E2CB92,#002654,#1a1f3a
Georgetown,#041E42,#8D817B,#f5ecd7
Georgia,#BA0C2F,#000000,#f5ecd7
Georgia Southern,#011E41,#A3AAAE,#f5ecd7
Georgia State,#0039A6,#C60C30,#f5ecd7
Georgia Tech,#B3A369,#003057,#1a1f3a
Gonzaga,#041E42,#C8102E,#f5ecd7
Grambling State,#000000,#ECAA00,#f5ecd7
Grand Canyon,#522398,#000000,#f5ecd7
Green Bay,#006747,#9D2235,#f5ecd7
Hampton,#265198,#FFFFFF,#f5ecd7
Harvard,#A41034,#000000,#f5ecd7
Hawaii,#024731,#C8C8C8,#f5ecd7
High Point,#330072,#FFFFFF,#f5ecd7
Hofstra,#FDC82F,#003591,#1a1f3a
Holy Cross,#602D89,#FFFFFF,#f5ecd7
Houston,#C8102E,#76232F,#f5ecd7
Houston Christian,#00529C,#F85512,#f5ecd7
Howard,#003A63,#FFFFFF,#f5ecd7
IU Indy,#9D2235,#DFD1A7,#f5ecd7
Idaho,#EAAB00,#86754D,#1a1f3a
Idaho State,#000000,#F9A81A,#f5ecd7
Illinois,#13294B,#E84A27,#f5ecd7
Illinois State,#CE1126,#F9DD16,#f5ecd7
Illinois–Chicago,#AC1E2D,#041E42,#f5ecd7
Incarnate Word,#CB333B,#000000,#f5ecd7
Indiana,#990000,#EEEDEB,#f5ecd7
Indiana State,#0142BC,#FFFFFF,#f5ecd7
Iona,#6F2C3F,#F2A900,#f5ecd7
Iowa,#FFCD00,#000000,#1a1f3a
Iowa State,#C8102E,#F1BE48,#f5ecd7
Jackson State,#002147,#FFFFFF,#f5ecd7
Jacksonville,#084E44,#FFFFFF,#f5ecd7
Jacksonville State,#004E44,#898A8D,#f5ecd7
James Madison,#450084,#CBB677,#f5ecd7
Kansas,#0051BA,#E8000D,#f5ecd7
Kansas City,#005293,#FECB00,#f5ecd7
Kansas State,#512888,#D1D1D1,#f5ecd7
Kennesaw State,#FDBB30,#0B1315,#1a1f3a
Kent State,#002664,#EAAB00,#f5ecd7
Kentucky,#0033A0,#FFFFFF,#f5ecd7
LIU,#231F20,#8A8D8F,#f5ecd7
La Salle,#FFCC00,#003366,#1a1f3a
Lafayette,#910029,#A8996E,#f5ecd7
Lamar,#E31937,#000000,#f5ecd7
Le Moyne,#006400,#FFFF00,#f5ecd7
Lehigh,#4B2913,#FFFFFF,#f5ecd7
Liberty,#990000,#0A254E,#f5ecd7
Lindenwood,#101820,#B5A36A,#f5ecd7
Lipscomb,#331E54,#F4AA00,#f5ecd7
Little Rock,#6E2639,#A7A9AC,#f5ecd7
Long Beach State,#FFC72A,#000000,#1a1f3a
Longwood,#041E42,#FFFFFF,#f5ecd7
Louisiana,#CE181E,#0A0203,#f5ecd7
Louisiana State,#461D7C,#FDD023,#f5ecd7
